name,startByte,startBit,dtype,size,conversion,unit,description,state,min,max,endian
bct_gps_update_cycle_count,211,0,dn,32,1,none,GPS Update Cycle Count,,,,big
bct_time_valid,215,0,dn,8,1,1/YES 0/NO,Time Valid,1/YES 0/NO,0,1,big
bct_gps_timer,216,0,dn,32,1,sec,Gps Timer,,,,big
bct_time_now,220,0,double,64,1,sec,Orbit Time,,,,big
bct_q_ecef_wrt_eci1,228,0,sn,32,1.00E-09,none,Q ECEF wrt ECI,,,,big
bct_q_ecef_wrt_eci2,232,0,sn,32,1.00E-09,none,Q ECEF wrt ECI,,,,big
bct_q_ecef_wrt_eci3,236,0,sn,32,1.00E-09,none,Q ECEF wrt ECI,,,,big
bct_q_ecef_wrt_eci4,240,0,sn,32,1.00E-09,none,Q ECEF wrt ECI,,,,big
bct_position_wrt_eci1,244,0,sn,32,2.00E-05,km,Orbit Position ECI,,,,big
bct_position_wrt_eci2,248,0,sn,32,2.00E-05,km,Orbit Position ECI,,,,big
bct_position_wrt_eci3,252,0,sn,32,2.00E-05,km,Orbit Position ECI,,,,big
bct_position_wrt_ecef1,256,0,sn,32,2.00E-05,km,Orbit Position ECEF,,,,big
bct_position_wrt_ecef2,260,0,sn,32,2.00E-05,km,Orbit Position ECEF,,,,big
bct_position_wrt_ecef3,264,0,sn,32,2.00E-05,km,Orbit Position ECEF,,,,big
bct_velocity_wrt_eci1,268,0,sn,32,5.00E-09,km/s,Orbit Velocity ECI,,,,big
bct_velocity_wrt_eci2,272,0,sn,32,5.00E-09,km/s,Orbit Velocity ECI,,,,big
bct_velocity_wrt_eci3,276,0,sn,32,5.00E-09,km/s,Orbit Velocity ECI,,,,big
bct_velocity_wrt_ecef1,280,0,sn,32,5.00E-09,km/s,Orbit Velocity ECEF,,,,big
bct_velocity_wrt_ecef2,284,0,sn,32,5.00E-09,km/s,Orbit Velocity ECEF,,,,big
bct_velocity_wrt_ecef3,288,0,sn,32,5.00E-09,km/s,Orbit Velocity ECEF,,,,big
bct_nadir_vector_body1,292,0,sn,16,4.00E-05,none,Nadir Vector in Body,,,,big
bct_nadir_vector_body2,294,0,sn,16,4.00E-05,none,Nadir Vector in Body,,,,big
bct_nadir_vector_body3,296,0,sn,16,4.00E-05,none,Nadir Vector in Body,,,,big
bct_sun_vector_body1,298,0,sn,16,4.00E-05,none,Sun vector in spacecraft body frame,,,,big
bct_sun_vector_body2,300,0,sn,16,4.00E-05,none,Sun vector in spacecraft body frame,,,,big
bct_sun_vector_body3,302,0,sn,16,4.00E-05,none,Sun vector in spacecraft body frame,,,,big
bct_moon_vector_body1,304,0,sn,16,4.00E-05,none,Moon vector in spacecraft body frame,,,,big
